date,tiktok,instagram,facebook,total
2026-07-31,1997,88,212,2297
2026-08-02,1998,88,213,2299
2026-08-04,1998,88,215,2301
2026-08-05,1999,88,216,2303
2026-08-06,2163,88,216,2467
2026-08-06,2164,101,216,2481
2026-08-06,2164,106,216,2486
2026-08-07,2165,119,217,2501
2026-08-08,2165,135,217,2517
2026-08-09,2165,155,218,2538
2026-08-10,2165,164,218,2547
2026-08-10,2165,165,218,2548
2026-08-10,2165,165,218,2548
2026-08-12,2164,165,218,2547
2026-08-13,2164,166,218,2548
2026-08-14,2164,168,218,2550
2026-08-15,2164,169,218,2551
2026-08-17,2164,170,221,2555
2026-08-18,2164,171,221,2556
2026-08-19,2165,171,221,2557
2026-08-20,2165,170,221,2556
2026-08-22,2165,172,221,2558
2026-08-23,2164,172,223,2559
2026-08-24,2164,208,225,2597
2026-08-25,2163,234,226,2623
2026-08-27,2164,234,226,2624
2026-08-28,2164,233,228,2625
2026-08-29,2164,232,228,2624
